MeterPoint Code,Serial Number,Plant Code,Date/Time,Data Type,Data Value,Units,Status
214612534,214612534,ED021401344,06-09-2015 09:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 09:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 10:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 10:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 10:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 10:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 11:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 11:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 11:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 11:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 12:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 12:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 12:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 12:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 13:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 13:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 13:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 13:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 14:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 14:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 14:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 14:45,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 15:00,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 15:15,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 15:30,Export Wh Total,0,kwh,
214612534,214612534,ED021401344,06-09-2015 15:45,Export Wh Total,0,kwh,
